Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
hv,60424026,2,"Tuesday, October 30, 2012 23:19:09 UTC",19.4028,-155.2960,2.5,3.30,26,"Island of Hawaii, Hawaii"
ak,10590674,1,"Tuesday, October 30, 2012 23:10:10 UTC",65.0110,-147.3264,1.6,0.00, 8,"northern Alaska"
ak,10590660,1,"Tuesday, October 30, 2012 23:02:19 UTC",61.4325,-150.7248,2.9,63.30,41,"Southern Alaska"
ci,15238873,2,"Tuesday, October 30, 2012 22:56:10 UTC",34.2928,-119.2030,1.5,9.00,10,"Greater Los Angeles area, California"
us,2012hibi,5,"Tuesday, October 30, 2012 22:49:52 UTC",2.1265,127.0355,4.5,88.50,24,"Molucca Sea"
ci,15238865,2,"Tuesday, October 30, 2012 22:43:47 UTC",34.2467,-119.1290,1.1,9.90, 6,"Greater Los Angeles area, California"
nc,71872110,2,"Tuesday, October 30, 2012 22:29:35 UTC",36.3095,-120.8513,1.4,7.70,25,"Central California"
ak,10590639,1,"Tuesday, October 30, 2012 22:27:32 UTC",64.8184,-149.1092,1.1,17.70, 5,"Central Alaska"
ak,10590631,1,"Tuesday, October 30, 2012 22:23:36 UTC",61.4391,-150.6954,2.8,66.50,39,"Southern Alaska"
ak,10590622,1,"Tuesday, October 30, 2012 22:11:04 UTC",61.4765,-150.6659,1.5,50.70, 6,"Southern Alaska"
ci,15238849,2,"Tuesday, October 30, 2012 22:08:27 UTC",34.2317,-117.4498,1.1,13.50,27,"Southern California"
nc,71872090,0,"Tuesday, October 30, 2012 22:04:48 UTC",37.5227,-118.8223,1.3,4.70,15,"Central California"
ak,10590604,2,"Tuesday, October 30, 2012 22:02:46 UTC",61.4959,-150.7229,4.2,67.40,47,"Southern Alaska"
uu,60003367,3,"Tuesday, October 30, 2012 21:59:37 UTC",37.7565,-110.6658,1.8,7.10,10,"Utah"
ak,10590598,1,"Tuesday, October 30, 2012 21:43:25 UTC",63.5170,-147.9178,1.5,2.20,10,"Central Alaska"
ci,15238833,2,"Tuesday, October 30, 2012 21:16:17 UTC",34.2375,-116.8065,2.6,9.70,127,"Southern California"
uu,60003357,2,"Tuesday, October 30, 2012 21:03:11 UTC",44.6138,-110.3628,1.6,4.80, 8,"Yellowstone National Park, Wyoming"
nc,71872065,1,"Tuesday, October 30, 2012 20:46:04 UTC",38.7868,-122.7482,1.3,3.30,24,"Northern California"
nc,71872035,2,"Tuesday, October 30, 2012 19:37:50 UTC",35.4295,-120.5748,1.5,0.00,26,"Central California"
uu,60003342,2,"Tuesday, October 30, 2012 19:36:44 UTC",42.2337,-111.5505,1.4,11.50,11,"southern Idaho"
nc,71872030,0,"Tuesday, October 30, 2012 19:35:05 UTC",36.5905,-121.1973,1.7,7.60,10,"Central California"
